epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3207,2.01448,3.73787,1.37634,0.34779,0.25306,0.25556,0.07487,2.29858,7.3971,1.49561,0.07426,0.00026,0.00026
2,31.9398,1.86898,3.933,1.25238,0.74149,0.45714,0.5276,0.20423,2.32201,3.8474,1.4814,0.0475195,0.000519506,0.000519506
3,36.3598,1.99028,2.79154,1.29124,0.70016,0.52245,0.57486,0.20722,2.19794,4.49444,1.4667,0.0207683,0.00076832,0.00076832
4,41.4094,1.90212,3.00698,1.30834,0.64727,0.35102,0.40453,0.12802,2.23813,3.79096,1.63893,0.0009406,0.0009406,0.0009406
5,45.7172,1.81619,2.39818,1.2967,0.5258,0.66122,0.53476,0.17408,2.19257,5.32729,1.49633,0.0009208,0.0009208,0.0009208
6,50.0349,1.81613,2.53556,1.32985,0.573,0.54694,0.58091,0.19788,2.09444,3.31105,1.52415,0.000901,0.000901,0.000901
7,55.1029,1.90489,2.61093,1.34315,0.78023,0.74694,0.74091,0.27111,2.01131,2.80016,1.38509,0.0008812,0.0008812,0.0008812
8,59.1971,1.89964,2.1617,1.34479,0.69789,0.79203,0.74164,0.28089,1.9829,1.99949,1.42109,0.0008614,0.0008614,0.0008614
9,63.5312,1.70678,1.91929,1.24142,0.76423,0.70122,0.7079,0.30036,1.96145,2.0497,1.3959,0.0008416,0.0008416,0.0008416
10,68.763,1.63872,2.02159,1.20507,0.73878,0.78498,0.7802,0.32732,1.88445,1.90776,1.32395,0.0008218,0.0008218,0.0008218
11,72.9713,1.62305,1.64776,1.21143,0.77537,0.73061,0.76065,0.29183,1.97521,1.7785,1.34564,0.000802,0.000802,0.000802
12,77.0269,1.65953,1.60891,1.23261,0.68601,0.77143,0.72765,0.30134,1.88073,1.63434,1.32721,0.0007822,0.0007822,0.0007822
13,83.3587,1.64484,1.63774,1.19724,0.68881,0.71374,0.70212,0.30141,1.84167,1.58946,1.30675,0.0007624,0.0007624,0.0007624
14,87.5545,1.58006,1.60712,1.17346,0.53455,0.73469,0.67817,0.29034,1.91684,1.78633,1.33275,0.0007426,0.0007426,0.0007426
15,91.9291,1.53973,1.85475,1.12672,0.76403,0.78776,0.80133,0.35325,1.85571,1.72286,1.28327,0.0007228,0.0007228,0.0007228
16,96.9181,1.51418,1.48559,1.17924,0.76506,0.84082,0.82856,0.34642,1.85553,1.49959,1.29443,0.000703,0.000703,0.000703
17,100.93,1.47426,1.45672,1.13522,0.76904,0.85623,0.84691,0.38222,1.79456,1.33083,1.28943,0.0006832,0.0006832,0.0006832
18,105.699,1.45174,1.43289,1.12375,0.80029,0.88571,0.86581,0.41078,1.75955,1.47731,1.28079,0.0006634,0.0006634,0.0006634
19,110.697,1.37943,1.82031,1.09964,0.81639,0.83265,0.85641,0.39812,1.83998,1.54364,1.28752,0.0006436,0.0006436,0.0006436
20,115.185,1.4772,2.05481,1.11103,0.81526,0.85714,0.81208,0.3833,1.90334,1.88507,1.34592,0.0006238,0.0006238,0.0006238
21,120.304,1.51493,1.36215,1.14661,0.8236,0.85714,0.84218,0.40417,1.87582,1.46096,1.31441,0.000604,0.000604,0.000604
22,125.047,1.53256,1.28089,1.12935,0.7889,0.67755,0.79011,0.36161,1.87246,1.50113,1.28855,0.0005842,0.0005842,0.0005842
23,129.054,1.56172,1.39107,1.11059,0.67737,0.84839,0.81537,0.35522,1.88934,1.29927,1.28766,0.0005644,0.0005644,0.0005644
24,133.478,1.51895,1.31999,1.12299,0.73317,0.85714,0.84539,0.3983,1.79424,1.29187,1.25587,0.0005446,0.0005446,0.0005446
25,138.535,1.46115,1.46481,1.10522,0.78371,0.8578,0.84687,0.39729,1.82536,1.63444,1.27935,0.0005248,0.0005248,0.0005248
26,142.526,1.35085,1.43474,1.10029,0.78938,0.85664,0.84087,0.39961,1.87469,1.58424,1.3319,0.000505,0.000505,0.000505
27,146.596,1.29855,1.29115,1.06695,0.75502,0.86939,0.84633,0.40001,1.87634,1.32189,1.34667,0.0004852,0.0004852,0.0004852
28,152.024,1.46857,1.21082,1.10459,0.78874,0.83813,0.83082,0.39343,1.87774,1.3651,1.34506,0.0004654,0.0004654,0.0004654
29,156.035,1.44028,1.19581,1.13745,0.78912,0.86122,0.84535,0.40466,1.89295,1.50347,1.36861,0.0004456,0.0004456,0.0004456
30,160.03,1.38257,0.98428,1.05804,0.82364,0.8449,0.86074,0.39855,1.8944,1.31433,1.34905,0.0004258,0.0004258,0.0004258
31,165.389,1.39776,1.12651,1.08439,0.76365,0.85306,0.837,0.38972,1.81483,1.24278,1.31626,0.000406,0.000406,0.000406
